EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,,,,,,,,,
LCL,,,,,,,,,,shares traded on avg,,realized vol,,,Company description
Ticker,Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,Country,Primary Exchange Name,volume avg 20d,volume avg 3m,volatility 30d,volatility 60d,volatility 90d,CIE_DES
NSRGY US Equity,NESTLE SA-SPONS ADR,327746879488,327746879488,110.129997253418,34.262523651123,1.7273185666802,93289996288,SZ,OTC US,598352,491300.96875,13.260773693901,12.4449302886443,14.3574590016968,"Nestle S.A. is a multinational packaged food company, that manufactures and markets a wide range of food products. The Company's product line includes milk, chocolate, confectionery, bottled water, coffee, creamer, food seasoning and pet foods."
MA US Equity,MASTERCARD INC - A,326528827392,326528827392,323.660003662109,43.7316970825195,8.53824626311967,16275999744,US,New York,3161400.5,3236502,13.6930968564548,15.8052242996842,19.4394558063644,"Mastercard Incorporated provides financial transaction processing services. The Company offers payment processing services for credit and debit cards, electronic cash, automated teller machines, and travelers checks. Mastercard serves customers worldwide."
WMT US Equity,WALMART INC,326161629184,326161629184,114.959999084473,23.1320686340332,-3.26489176454213,521085984768,US,New York,5660843,5220828,9.67676889278599,10.5294569438867,10.8132749869604,"Walmart Inc. operates discount stores, supercenters, and neighborhood markets. The Company offers merchandise such as apparel, house wares, small appliances, electronics, musical instruments, books, home improvement, shoes, jewelry, toddler, games, household essentials, pets, pharmaceutical products, party supplies, and automotive tools. Walmart serves customers worldwide."
NSRGF US Equity,NESTLE SA-REG,324443504640,324443504640,109.019996643066,34.262523651123,0.935093497694828,93289996288,SZ,OTC US,17871.599609375,15079.171875,15.175683722066,13.3822443897743,14.9622148959485,"Nestle S.A. is a multinational packaged food company, that manufactures and markets a wide range of food products. The Company's product line includes milk, chocolate, confectionery, bottled water, coffee, creamer, food seasoning and pet foods."
SPY US Equity,SPDR S&P 500 ETF TRUST,319014633472,319014633472,331.950012207031,,3.13491186064885,,US,NYSE Arca,61322360,56091032,7.1879771193454,6.84017254569076,9.06238173539177,SPDR S&P 500 ETF Trust is an exchange-traded fund incorporated in the USA. The ETF tracks the S&P 500 Index. The Trust consists of a portfolio representing all 500 stocks in the S&P 500 Index. It holds predominantly large-cap U.S. stocks. This ETF is structured as a Unit Investment Trust and pays dividends on a quarterly basis. The holdings are weighted by market capitalization.
PG US Equity,PROCTER & GAMBLE CO/THE,315242774528,315242774528,126.410003662109,26.8352794647217,1.20896886932191,68791999488,US,New York,6696463.5,6673670,10.0153456230893,13.9779895983576,15.6680681809908,"The Procter & Gamble Company manufactures and markets consumer products in countries throughout the world. The Company provides products in the laundry and cleaning, paper, beauty care, food and beverage, and health care segments. Procter & Gamble products are sold primarily through mass merchandisers, grocery stores, membership club stores, drug stores, and neighborhood stores."
BAC US Equity,BANK OF AMERICA CORP,306702745600,306702745600,34.7099990844727,12.5131130218506,-1.44804690106223,113667002368,US,New York,44607332,45661524,16.3062716447007,15.1726364255037,17.3482894970857,"Bank of America Corporation operates as a bank. The Bank offers saving accounts, deposits, mortgage and construction loans, cash and wealth management, certificates of deposit, investment fund, credit and debit cards, insurance, mobile, and online banking services. Bank of America serves customers worldwide."
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,303800352768,303800352768,58.5800018310547,25.0187835693359,0.826167589569549,1069985382400,TA,New York,6359765,6522999.5,27.2955633371279,22.3459884882737,21.752702773909,"Taiwan Semiconductor Manufacturing Company, Ltd. manufactures and markets integrated circuits. The Company provides the following services: wafer manufacturing, wafer probing, assembly and testing, mask production, and design services. TSMC's ICs are used in computer, communication, consumer electronics, automotive, and industrial equipment industries."
IDCBF US Equity,IND & COMM BK OF CHINA-H,294307233792,294307233792,0.753965020179749,6.78029108047485,0.528669357299805,1238618013696,CH,OTC US,7652.60009765625,33565.8125,#N/A N/A,#N/A N/A,#N/A N/A,"Industrial and Commercial Bank of China Limited provides banking services. The Company offers deposits, loans, fund underwriting, foreign currency settlement, and other services. Industrial and Commercial Bank of China provides its services to individuals, enterprises, and other clients."
IDCBY US Equity,IND & COMM BK OF-UNSPON ADR,294176292864,294176292864,15.1350002288818,6.78029108047485,-1.49690560144792,1238618013696,CH,OTC US,35129.6015625,55900.78125,15.9875140393996,18.8791249501501,17.638003829489,"Industrial and Commercial Bank of China Limited provides banking services. The Company offers deposits, loans, fund underwriting, foreign currency settlement, and other services. Industrial and Commercial Bank of China provides its services to individuals, enterprises, and other clients."
RHHBY US Equity,ROCHE HOLDINGS LTD-SPONS ADR,291777052672,291777052672,42.4199981689453,23.7677326202393,4.32857434367457,59203999744,SZ,OTC US,1274701.875,1135660.375,9.83493764323625,10.2455981974978,13.0219739573293,"Roche Holding AG develops and manufactures pharmaceutical and diagnostic products. The Company produces prescription drugs in the areas of cardiovascular, infectious, autoimmune, respiratory diseases, dermatology, metabolic disorders, oncology, transplantation, and the central nervous system."
RHHVF US Equity,ROCHE HOLDING AG-GENUSSCHEIN,291377512448,291377512448,334.899993896484,23.7677326202393,3.55596790879378,59203999744,SZ,OTC US,1311.44995117188,2502.859375,16.0077977243246,14.597094520171,15.9299916223865,"Roche Holding AG develops and manufactures pharmaceutical and diagnostic products. The Company produces prescription drugs in the areas of cardiovascular, infectious, autoimmune, respiratory diseases, dermatology, metabolic disorders, oncology, transplantation, and the central nervous system."
RHHBF US Equity,ROCHE HOLDING AG-BR,291377512448,291377512448,335.600006103516,23.7677326202393,5.9845294717505,59203999744,SZ,OTC US,75.1999969482422,59.21875,#N/A N/A,#N/A N/A,#N/A N/A,"Roche Holding AG develops and manufactures pharmaceutical and diagnostic products. The Company produces prescription drugs in the areas of cardiovascular, infectious, autoimmune, respiratory diseases, dermatology, metabolic disorders, oncology, transplantation, and the central nervous system."
XOM US Equity,EXXON MOBIL CORP,290084618240,290084618240,68.5599975585938,19.4169406890869,-1.74835374325786,260812001280,US,New York,14508469,13088449,14.8024555577164,19.2093626992574,19.1695063541598,"Exxon Mobil Corporation operates petroleum and petrochemicals businesses on a worldwide basis. The Company operations include exploration and production of oil and gas, electric power generation, and coal and minerals operations. Exxon Mobil also manufactures and markets fuels, lubricants, and chemicals."
UNH US Equity,UNITEDHEALTH GROUP INC,282774929408,282774929408,298.470001220703,20.828332901001,1.5273114043743,242154999808,US,New York,3293121.75,3497667,19.0685169307627,19.8580617432933,24.1002529474791,"UnitedHealth Group Incorporated owns and manages organized health systems in the United States and internationally. The Company provides employers products and resources to plan and administer employee benefit programs. UnitedHealth also serves the health needs of older Americans, provides specialized care services, and provides health care information and research to providers and payers."
T US Equity,AT&T INC,280365891584,280365891584,38.3800010681152,16.4224052429199,-0.474997539346955,182364999680,US,New York,28359724,29196556,9.20868463523976,17.5708395377258,16.7172713606268,"AT&T Inc. is a communications holding company. The Company, through its subsidiaries and affiliates, provides local and long-distance phone service, wireless and data communications, Internet access and messaging, IP-based and satellite television, security services, telecommunications equipment, and directory advertising and publishing."
DIS US Equity,WALT DISNEY CO/THE,260553080832,260553080832,144.330001831055,29.4115009307861,-0.207427948302219,69570000896,US,New York,7883913,10265898,13.9384533872527,22.2156775894755,20.4667506806713,"The Walt Disney Company is a entertainment company with operations in media networks, park experiences & consumer products, studio entertainment and Direct-to-Consumer networks and channels. The Company serves customers worldwide."
INTC US Equity,INTEL CORP,259260006400,259260006400,59.5999984741211,13.8673467636108,-0.417710954676298,70412998656,US,NASDAQ GS,18830616,18945264,13.7967868005044,21.3727757540343,21.4593498828675,"Intel Corporation designs, manufactures, and sells computer components and related products. The Company major products include microprocessors, chipsets, embedded processors and microcontrollers, flash memory, graphic, network and communication, systems management software, conferencing, and digital imaging products."
HD US Equity,HOME DEPOT INC,252974628864,252974628864,231.910003662109,22.6605892181396,6.19562161222469,110933999616,US,New York,4637430,4708252,13.9824089874025,18.9027317572524,17.3742176624193,"The Home Depot, Inc. is a home improvement retailer that sells building materials and home improvement products. The Company sells a wide assortment of building materials, home improvement and lawn and garden products, and provide a number of services. Home Depot operates throughout the United States, Canada, China, and Mexico."
VZ US Equity,VERIZON COMMUNICATIONS INC,248684707840,248684707840,60.1300010681152,11.6780977249146,-1.04498807439958,131374000128,US,New York,13483439,11594155,11.9182954366465,10.9296740906083,11.1628799806587,"Verizon Communications Inc. is an integrated telecommunications company that provides wire line voice and data services, wireless services, Internet services, and published directory information. The Company also provides network services for the federal government including business phone lines, data services, telecommunications equipment, and payphones."
LVMHF US Equity,LVMH MOET HENNESSY LOUIS VUI,246119940096,246119940096,486.5,32.6750564575195,4.22022551889363,50158000128,FR,OTC US,3322.5,1975.234375,12.7614017677232,13.7435952897361,18.6530068164826,"LVMH Moet Hennessy Louis Vuitton SE is a diversified luxury goods group. The Company produces and sells wine, cognac, perfumes, cosmetics, luggage, and watches and jewelry."
LVMUY US Equity,LVMH MOET HENNESSY-UNSP ADR,245589065728,245589065728,97.1800003051758,32.6750564575195,4.19213445141691,50158000128,FR,OTC US,120459.6015625,103814.96875,12.5496251784543,13.8530518117891,18.8960733295062,"LVMH Moet Hennessy Louis Vuitton SE is a diversified luxury goods group. The Company produces and sells wine, cognac, perfumes, cosmetics, luggage, and watches and jewelry."
KO US Equity,COCA-COLA CO/THE,243958939648,243958939648,56.939998626709,26.6826858520508,2.8726290811576,36003999744,US,New York,11928955,11599852,10.5000409738559,11.7344798376731,13.1673578671164,"The Coca-Cola Company manufactures, markets, and distributes soft drink concentrates and syrups. The Company also distributes and markets juice and juice-drink products. Coca-Cola distributes its products to retailers and wholesalers in the United States and internationally."
NVS US Equity,NOVARTIS AG-SPONSORED ADR,242451070976,242451070976,95.9300003051758,30.445426940918,1.30953409208838,49624999936,SZ,New York,1249388,1556831.5,8.21851779107488,9.49432313700871,11.810225454467,Novartis AG manufactures pharmaceutical and consumer healthcare products. The Company uses innovative science and digital technologies to create transformative treatments in areas of great medical need. Novartis offers patent protected prescription medicine and generic pharmaceuticals and biosimilars.
NVSEF US Equity,NOVARTIS AG-REG,240606085120,240606085120,95.1999969482422,30.445426940918,0.527983121555198,49624999936,SZ,OTC US,14989.4501953125,21468.234375,#N/A N/A,#N/A N/A,#N/A N/A,Novartis AG manufactures pharmaceutical and consumer healthcare products. The Company uses innovative science and digital technologies to create transformative treatments in areas of great medical need. Novartis offers patent protected prescription medicine and generic pharmaceuticals and biosimilars.
RDS/B US Equity,ROYAL DUTCH SHELL-SPON ADR-B,232532082688,232532082688,59.7900009155273,11.5658721923828,-0.300150577808622,363098996736,NE,New York,2189182.25,1908137,12.3586421627517,15.6109347218112,16.5236518611485,"Royal Dutch Shell PLC, through subsidiaries, explores, produces, and refines petroleum. The Company produces fuels, chemicals, and lubricants. Royal Dutch Shell owns and operates gasoline filling stations worldwide."
RDS/A US Equity,ROYAL DUTCH SHELL-SPON ADR-A,232532082688,232532082688,58.5400009155273,11.5658721923828,-0.746013275896851,363098996736,NE,New York,2714414.75,2849736.5,12.0647967337337,14.6317749623027,15.1025491018228,"Royal Dutch Shell PLC, through subsidiaries, explores, produces, and refines petroleum. The Company produces fuels, chemicals, and lubricants. Royal Dutch Shell owns and operates gasoline filling stations worldwide."
PNGAY US Equity,PING AN INSURANCE-ADR,232201289728,232201289728,25.8199996948242,9.90274429321289,8.48739715343434,1166283980800,CH,OTC US,212265.703125,164075.6875,19.1020108971887,18.6015220635242,17.4371454218223,"Ping An Insurance (Group) Company of China Limited provides products and services through its five ecosystems in financial services, healthcare, auto services, real estate services and Smart City solutions. The Group's insurance business writes property, casualty, and life insurance products."
MRK US Equity,MERCK & CO. INC.,231608172544,231608172544,90.9700012207031,17.6649398803711,0.021994802784131,45970999296,US,New York,7686244,8362587.5,13.4023044110852,15.0602198067949,17.521729602486,"Merck & Co., Inc. is a global health care company that delivers health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products, which it markets directly and through its joint ventures. The Company has operations in pharmaceutical, animal health, and consumer care."
PIAIF US Equity,PING AN INSURANCE GROUP CO-H,231499186176,231499186176,12.9300003051758,9.90274429321289,7.75000254313152,1166283980800,CH,OTC US,43243.8515625,19363.890625,26.8556144016824,#N/A N/A,#N/A N/A,"Ping An Insurance (Group) Company of China Limited provides products and services through its five ecosystems in financial services, healthcare, auto services, real estate services and Smart City solutions. The Group's insurance business writes property, casualty, and life insurance products."
RYDAF US Equity,ROYAL DUTCH SHELL PLC-A SHS,231056588800,231056588800,29.5799999237061,11.5658721923828,1.12820486737113,363098996736,NE,OTC US,51179.8984375,46421.09375,15.1035579334013,19.5363629324474,23.7753244015376,"Royal Dutch Shell PLC, through subsidiaries, explores, produces, and refines petroleum. The Company produces fuels, chemicals, and lubricants. Royal Dutch Shell owns and operates gasoline filling stations worldwide."
RYDBF US Equity,ROYAL DUTCH SHELL PLC-B SHS,231056588800,231056588800,29.5400009155273,11.5658721923828,0.135596323821496,363098996736,NE,OTC US,3190.19995117187,2163.3125,24.3749572374507,#N/A N/A,#N/A N/A,"Royal Dutch Shell PLC, through subsidiaries, explores, produces, and refines petroleum. The Company produces fuels, chemicals, and lubricants. Royal Dutch Shell owns and operates gasoline filling stations worldwide."
TOYOF US Equity,TOYOTA MOTOR CORP,229688918016,229688918016,70.3919982910156,11.6298456192017,-0.29461782946314,30837270118400,JN,OTC US,1021.25,6776.921875,#N/A N/A,#N/A N/A,#N/A N/A,"Toyota Motor Corporation manufactures, sells, leases, and repairs passenger cars, trucks, buses, and their related parts worldwide. The Company also operates financing services through their subsidiaries. Toyota Motor builds homes, produces pleasure boats, and develops intelligent transportation systems including radar cruise control and electronic toll collection systems."
TM US Equity,TOYOTA MOTOR CORP -SPON ADR,228475076608,228475076608,140.039993286133,11.6298456192017,-0.355770616113538,30837270118400,JN,New York,114649.203125,117870.609375,7.67568901239551,9.48062934786616,11.0685345864888,"Toyota Motor Corporation manufactures, sells, leases, and repairs passenger cars, trucks, buses, and their related parts worldwide. The Company also operates financing services through their subsidiaries. Toyota Motor builds homes, produces pleasure boats, and develops intelligent transportation systems including radar cruise control and electronic toll collection systems."
PFE US Equity,PFIZER INC,224187301888,224187301888,40.5099983215332,23.3176975250244,3.39458398672274,53038000128,US,New York,17903344,18910080,12.3243685409463,15.2979703253876,15.0812443041563,"Pfizer Inc. operates as a pharmaceutical company. The Company offers medicines, vaccines, medical devices, and consumer healthcare products for oncology, inflammation, cardiovascular, and other therapeutic areas. Pfizer serves customers worldwide."
CICHF US Equity,CHINA CONSTRUCTION BANK-H,219425718272,219425718272,0.855000019073486,5.62148904800415,-1.44092080415081,1081174016000,CH,OTC US,55886.19921875,48932.75,#N/A N/A,#N/A N/A,#N/A N/A,"China Construction Bank Corporation provides banking services. The Company offers deposits, loans, fund management, foreign exchange, and other services. China Construction Bank provides its services to individuals, enterprises, and other clients."
CVX US Equity,CHEVRON CORP,218547011584,218547011584,115.580001831055,17.0545463562012,-4.0909469901118,145629003776,US,New York,6384198.5,5886103,13.9547371472291,16.9977409232692,17.9085178104211,"Chevron Corporation is an integrated energy company with operations in countries located around the world. The Company produces and transports crude oil and natural gas. Chevron also refines, markets, and distributes fuels, as well as is involved in chemical and mining operations, power generation, and energy services."
CICHY US Equity,CHINA CONSTRUCT-UNSPON ADR,218452819968,218452819968,17.3500003814697,5.62148904800415,0.28902396886854,1081174016000,CH,OTC US,71084.6484375,102455.828125,16.9813143263165,18.5999188488041,17.6478639663982,"China Construction Bank Corporation provides banking services. The Company offers deposits, loans, fund management, foreign exchange, and other services. China Construction Bank provides its services to individuals, enterprises, and other clients."
CMCSA US Equity,COMCAST CORP-CLASS A,216089395200,216089395200,47.5,17.9682750701904,6.11965989115351,108390000640,US,NASDAQ GS,18969512,18906904,17.1267688204923,18.3778963612172,17.4337743740824,"Comcast Corporation provides media and television broadcasting services. The Company offers video streaming, television programming, high-speed Internet, cable television, and communication services. Comcast serves customers worldwide."
CSCO US Equity,CISCO SYSTEMS INC,207955705856,207955705856,49.0200004577637,17.4821929931641,2.94899961136657,51991000064,US,NASDAQ GS,19377986,19619892,17.5112432100023,22.6035508205239,21.8207008963715,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol (IP)-based networking and other products related to the communications and information technology (IT) industry and provide services associated with these products and their use. The Company provides products for transporting data, voice, and video within buildings, across campuses, and globally."
IVV US Equity,ISHARES CORE S&P 500 ETF,207670460416,207670460416,333.5,,3.17411523190112,,US,NYSE Arca,4108050,3497834,7.07632261184661,6.80794707448284,9.15147829868632,iShares Core S&P 500 ETF is an exchange-traded fund incorporated in the USA. The ETF tracks the performance of the S&P 500 Index. It invests in all 500 stocks that  comprise the index. The ETF holds predominantly large-cap stocks from U.S. companies. It weights the holdings using a market capitalization methodology and rebalances quarterly.
WFC US Equity,WELLS FARGO & CO,203329798144,203329798144,49.1800003051758,12.1868000030518,-8.58735873122883,103914999808,US,New York,22920806,19336918,22.6561825849911,18.9387742784667,19.0918290706275,"Wells Fargo & Company is a diversified financial services company providing banking, insurance, investments, mortgage, leasing, credit cards, and consumer finance. The Company operates through physical stores, the internet, and other distribution channels worldwide."
PEP US Equity,PEPSICO INC,196977934336,196977934336,141.259994506836,25.7402362823486,3.35845203730572,66044999680,US,NASDAQ GS,4225495,3665225.5,11.5804019927084,10.7933460498239,12.5084647187898,"PepsiCo, Inc. operates worldwide beverage, snack, and food businesses. The Company manufactures or uses contract manufacturers, markets, and sells a variety of grain-based snacks, carbonated and non-carbonated beverages, and foods in countries throughout the world."
BA US Equity,BOEING CO/THE,182428778496,182428778496,324.149993896484,80.0460662841797,-0.494233736761918,86988998656,US,New York,6323560.5,5802505.5,25.1703700723332,25.0890308802569,26.257112822309,"The Boeing Company, together with its subsidiaries, develops, produces, and markets commercial jet aircraft, as well as provides related support services to the commercial airline industry worldwide. The Company also researches, develops, produces, modifies, and supports information, space, and defense systems, including military aircraft, helicopters and space and missile systems."
ACGBF US Equity,AGRICULTURAL BANK OF CHINA-H,181541715968,181541715968,0.428400009870529,4.99123191833496,-1.51723964999605,989157998592,CH,OTC US,925.400024414063,4473.53125,#N/A N/A,#N/A N/A,#N/A N/A,"Agricultural Bank of China Limited provides banking services. The Company offers deposits, loans, domestic settlement, bill discounting, currency trading, bank guarantee, and other services. Agricultural Bank of China provides its services to individuals, enterprises, and other clients."
ACGBY US Equity,AGRICULTURAL BANK-UNSPON ADR,181496610816,181496610816,10.7449998855591,4.99123191833496,-2.22929836816689,989157998592,CH,OTC US,7829.85009765625,6700.359375,15.0335159229567,15.3828083801652,14.2187445504314,"Agricultural Bank of China Limited provides banking services. The Company offers deposits, loans, domestic settlement, bill discounting, currency trading, bank guarantee, and other services. Agricultural Bank of China provides its services to individuals, enterprises, and other clients."
ORCL US Equity,ORACLE CORP,176837689344,176837689344,55.1300010681152,17.5461711883545,4.51950711513049,39582000128,US,New York,10668979,10129582,16.9694430401169,13.629384771263,17.7348609051118,"Oracle Corporation supplies software for enterprise information management. The Company offers databases and relational servers, application development and decision support tools, and enterprise business applications. Oracle's software runs on network computers, personal digital assistants, set-top devices, PCs, workstations, minicomputers, mainframes, and massively parallel computers."
CHL US Equity,CHINA MOBILE LTD-SPON ADR,176498655232,176498655232,43.0999984741211,10.8729276657104,1.96356282793695,740514004992,HK,New York,1389552.875,1181677.5,15.0135647762603,16.2134174380357,15.5036529612593,"China Mobile Limited provides telecommunication services. The Company offers wireline voice, broadband, roaming, and other related services. China Mobile serves customers in Hong Kong."
CHLKF US Equity,CHINA MOBILE LTD,172198805504,172198805504,8.40999984741211,10.8729276657104,2.93757367046479,740514004992,HK,OTC US,1822.40002441406,5105.203125,#N/A N/A,#N/A N/A,#N/A N/A,"China Mobile Limited provides telecommunication services. The Company offers wireline voice, broadband, roaming, and other related services. China Mobile serves customers in Hong Kong."
SAP US Equity,SAP SE-SPONSORED ADR,171941462016,171941462016,139.960006713867,44.5574150085449,4.45555711318162,26938999808,GE,New York,568713.8125,577196.3125,19.509601038965,15.7835692646585,23.0226526828843,"SAP SE is a multinational software company. The Company develops business software, including e-business and enterprise management software, consults on organizational usage of its applications software, and provides training services. SAP markets its products and services worldwide."
C US Equity,CITIGROUP INC,171495784448,171495784448,81.120002746582,9.70491886138916,1.53962118704556,103448997888,US,New York,13025812,11740647,15.5637554079812,16.410039850016,19.1526355818429,"Citigroup Inc. is a diversified financial services holding company that provides a broad range of financial services to consumer and corporate customers. The Company services include investment banking, retail brokerage, corporate banking, and cash management products and services. Citigroup serves customers globally."
LRLCF US Equity,L'OREAL,171314069504,171314069504,306.950012207031,38.9310913085938,3.02064092339971,28358199296,FR,OTC US,616.900024414062,459.375,21.9261397606501,21.1759792375624,22.4711925481476,"L'Oreal manufactures cosmetics. The Company offers mascara, lip gloss, foundation, eyeshadow, primer, nail polish, lipstick, face powder, blusher, and concealer, as well as skin, hair, and body care products . L'Oreal serves customers worldwide."
LRLCY US Equity,L'OREAL-UNSPONSORED ADR,170755964928,170755964928,61.189998626709,38.9310913085938,3.94088625262006,28358199296,FR,OTC US,71757.953125,66777.9375,17.7802691063399,18.5484303414401,19.4861769343913,"L'Oreal manufactures cosmetics. The Company offers mascara, lip gloss, foundation, eyeshadow, primer, nail polish, lipstick, face powder, blusher, and concealer, as well as skin, hair, and body care products . L'Oreal serves customers worldwide."
